Date : 2022-11-15 14:42:53
Directory : d:\vscode_project\Performace-MM\front-end
Total : 198 files,  52281 codes, 1841 comments, 459 blanks, all 54581 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| src\components\monthConclusion\skins\content\document                                                               |          2 |         48 |         13 |          2 |         63 |
| src\components\monthConclusion\skins\content\writer                                                                 |          2 |         45 |         13 |          2 |         60 |
| src\components\monthConclusion\skins\ui                                                                             |         20 |      8,958 |        246 |         20 |      9,224 |
| src\components\monthConclusion\skins\ui\oxide                                                                       |         10 |      4,479 |        123 |         10 |      4,612 |
| src\components\monthConclusion\skins\ui\oxide-dark                                                                  |         10 |      4,479 |        123 |         10 |      4,612 |
| src\components\workStation                                                                                          |          3 |      1,005 |         27 |         11 |      1,043 |
| src\config                                                                                                          |          2 |        190 |          9 |         12 |        211 |
| src\icons                                                                                                           |         61 |         72 |         14 |          8 |         94 |
| src\icons\svg                                                                                                       |         59 |         61 |          0 |          0 |         61 |
| src\themes                                                                                                          |          1 |          3 |          2 |          2 |          7 |
| src\themes\element                                                                                                  |          1 |          3 |          2 |          2 |          7 |
| src\utils                                                                                                           |         13 |      2,107 |        375 |        113 |      2,595 |
| src\views                                                                                                           |         27 |     12,948 |        709 |         96 |     13,753 |
| src\views\Dashboard                                                                                                 |          1 |         49 |          4 |          5 |         58 |
| src\views\Performance                                                                                               |          3 |      2,217 |        125 |          9 |      2,351 |
| src\views\Performance\childViews                                                                                    |          2 |      1,642 |        105 |          6 |      1,753 |
| src\views\WorkStation                                                                                               |          4 |      2,172 |         95 |         14 |      2,281 |
| src\views\WorkStation\childViews                                                                                    |          3 |      1,859 |         81 |         11 |      1,951 |
| src\views\monthConclusion                                                                                           |          5 |      1,300 |         57 |         18 |      1,375 |
| src\views\monthConclusion\childViews                                                                                |          4 |        887 |         21 |         15 |        923 |
| src\views\mutualEvaluation                                                                                          |          2 |      2,242 |        151 |          7 |      2,400 |
| src\views\performanceEva                                                                                            |          2 |      2,692 |        173 |         12 |      2,877 |
| src\views\tmp                                                                                                       |          1 |        157 |          6 |          1 |        164 |
| src\views\workPlanCheck                                                                                             |          3 |        771 |         37 |         11 |        819 |
| src\views\workPlanCheck\childViews                                                                                  |          2 |        595 |         23 |          8 |        626 |
| src\views\workTimeCheck                                                                                             |          1 |        215 |         14 |          4 |        233 |
| src\views\workTimeReview                                                                                            |          2 |        820 |         31 |          7 |        858 |
| src\views\workTimeReview\childViews                                                                                 |          1 |        578 |         13 |          4 |        595 |
+---------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| d:\vscode_project\Performace-MM\front-end\.eslintrc.js                                                              | JavaScript         |         21 |          0 |          1 |         22 |
| d:\vscode_project\Performace-MM\front-end\README.md                                                                 | Markdown           |         23 |          0 |          7 |         30 |
| d:\vscode_project\Performace-MM\front-end\babel.config.js                                                           | JavaScript         |          5 |          0 |          1 |          6 |
| d:\vscode_project\Performace-MM\front-end\debug.log                                                                 | Log                |          3 |          0 |          1 |          4 |
| d:\vscode_project\Performace-MM\front-end\jsconfig.json                                                             | JSON with Comments |          5 |          4 |          0 |          9 |
| d:\vscode_project\Performace-MM\front-end\package-lock.json                                                         | JSON               |     13,009 |          0 |          1 |     13,010 |
| d:\vscode_project\Performace-MM\front-end\package.json                                                              | JSON               |         42 |          0 |          1 |         43 |
| d:\vscode_project\Performace-MM\front-end\postcss.config.js                                                         | JavaScript         |          5 |          0 |          1 |          6 |
| d:\vscode_project\Performace-MM\front-end\public\index.html                                                         | HTML               |         16 |          1 |          1 |         18 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\langs\zh_CN.js                                             | JavaScript         |        419 |          0 |          0 |        419 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\default\content.css                          | CSS                |         43 |          6 |          1 |         50 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\default\content.min.css                      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\document\content.css                         | CSS                |         47 |          6 |          1 |         54 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\document\content.min.css                     | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\writer\content.css                           | CSS                |         44 |          6 |          1 |         51 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\content\writer\content.min.css                       | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.css                            | CSS                |        598 |         16 |          1 |        615 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.inline.css                     | CSS                |        606 |         16 |          1 |        623 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.inline.min.css                 | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.min.css                        | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.mobile.css                     | CSS                |         21 |          8 |          1 |         30 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\content.mobile.min.css                 | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.css                               | CSS                |      2,607 |         18 |          1 |      2,626 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.min.css                           | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.mobile.css                        | CSS                |        642 |         30 |          1 |        673 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide-dark\skin.mobile.min.css                    | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.css                                 | CSS                |        598 |         16 |          1 |        615 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.inline.css                          | CSS                |        606 |         16 |          1 |        623 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.inline.min.css                      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.min.css                             | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.mobile.css                          | CSS                |         21 |          8 |          1 |         30 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\content.mobile.min.css                      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.css                                    | CSS                |      2,607 |         18 |          1 |      2,626 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.min.css                                | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.mobile.css                             | CSS                |        642 |         30 |          1 |        673 |
| d:\vscode_project\Performace-MM\front-end\public\tinymce\skins\ui\oxide\skin.mobile.min.css                         | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\App.vue                                                               | Vue                |         14 |          0 |          2 |         16 |
| d:\vscode_project\Performace-MM\front-end\src\assets\js\common.js                                                   | JavaScript         |        131 |          7 |          3 |        141 |
| d:\vscode_project\Performace-MM\front-end\src\assets\styles\global_color.scss                                       | SCSS               |         17 |          1 |          4 |         22 |
| d:\vscode_project\Performace-MM\front-end\src\assets\styles\global_layout.scss                                      | SCSS               |        153 |         28 |         26 |        207 |
| d:\vscode_project\Performace-MM\front-end\src\assets\styles\globals.scss                                            | SCSS               |          2 |          0 |          1 |          3 |
| d:\vscode_project\Performace-MM\front-end\src\assets\styles\reset.css                                               | CSS                |         42 |          2 |          0 |         44 |
| d:\vscode_project\Performace-MM\front-end\src\components\Chart\MixChart.vue                                         | Vue                |        265 |          0 |          6 |        271 |
| d:\vscode_project\Performace-MM\front-end\src\components\Chart\mixins\resize.js                                     | JavaScript         |         48 |          4 |          5 |         57 |
| d:\vscode_project\Performace-MM\front-end\src\components\Cop\Cop.vue                                                | Vue                |        109 |          2 |          4 |        115 |
| d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopReview.vue                                          | Vue                |        168 |          5 |          4 |        177 |
| d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopTable.vue                                           | Vue                |         83 |          2 |          3 |         88 |
| d:\vscode_project\Performace-MM\front-end\src\components\Cop\CopTableEdit.vue                                       | Vue                |        293 |          6 |          7 |        306 |
| d:\vscode_project\Performace-MM\front-end\src\components\Cop\workTimeAssign.vue                                     | Vue                |        403 |         11 |          3 |        417 |
| d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\LineChart.vue                                    | Vue                |        131 |          0 |          3 |        134 |
| d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\PanelGroup.vue                                   | Vue                |        660 |         21 |         38 |        719 |
| d:\vscode_project\Performace-MM\front-end\src\components\Dashboard\mixins\resize.js                                 | JavaScript         |         50 |          4 |          2 |         56 |
| d:\vscode_project\Performace-MM\front-end\src\components\PasswordEdit\PasswordEdit.vue                              | Vue                |        216 |          4 |          3 |        223 |
| d:\vscode_project\Performace-MM\front-end\src\components\PlanProcessTable\JJProjectPlanProcess.vue                  | Vue                |        202 |          0 |          4 |        206 |
| d:\vscode_project\Performace-MM\front-end\src\components\PlanProcessTable\XXProjectPlanProcess.vue                  | Vue                |         40 |          0 |          4 |         44 |
| d:\vscode_project\Performace-MM\front-end\src\components\Sticky\index.vue                                           | Vue                |         90 |          0 |          2 |         92 |
| d:\vscode_project\Performace-MM\front-end\src\components\SvgIcon\index.vue                                          | Vue                |         57 |          1 |          5 |         63 |
| d:\vscode_project\Performace-MM\front-end\src\components\common\workTimeTable.vue                                   | Vue                |        186 |          9 |          3 |        198 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\editor.vue                                 | Vue                |         92 |          2 |          3 |         97 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\default\content.css          | CSS                |         43 |          6 |          1 |         50 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\default\content.min.css      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\document\content.css         | CSS                |         47 |          6 |          1 |         54 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\document\content.min.css     | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.css           | CSS                |         44 |          6 |          1 |         51 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\content\writer\content.min.css       | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.css            | CSS                |        598 |         16 |          1 |        615 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.css     | CSS                |        606 |         16 |          1 |        623 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.inline.min.css | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.min.css        | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.css     | CSS                |         21 |          8 |          1 |         30 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\content.mobile.min.css | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.css               | CSS                |      2,607 |         18 |          1 |      2,626 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.min.css           | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.css        | CSS                |        642 |         30 |          1 |        673 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide-dark\skin.mobile.min.css    | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.css                 | CSS                |        598 |         16 |          1 |        615 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.css          | CSS                |        606 |         16 |          1 |        623 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.inline.min.css      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.min.css             | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.css          | CSS                |         21 |          8 |          1 |         30 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\content.mobile.min.css      | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.css                    | CSS                |      2,607 |         18 |          1 |      2,626 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.min.css                | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.css             | CSS                |        642 |         30 |          1 |        673 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\skins\ui\oxide\skin.mobile.min.css         | CSS                |          1 |          7 |          1 |          9 |
| d:\vscode_project\Performace-MM\front-end\src\components\monthConclusion\zh_CN.js                                   | JavaScript         |        419 |          0 |          0 |        419 |
| d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverview.vue                            | Vue                |        509 |         15 |          4 |        528 |
| d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectOverviewManager.vue                     | Vue                |        188 |          6 |          4 |        198 |
| d:\vscode_project\Performace-MM\front-end\src\components\workStation\projectProcessDetail.vue                       | Vue                |        308 |          6 |          3 |        317 |
| d:\vscode_project\Performace-MM\front-end\src\config\http.js                                                        | JavaScript         |         98 |          8 |          4 |        110 |
| d:\vscode_project\Performace-MM\front-end\src\config\interface.js                                                   | JavaScript         |         92 |          1 |          8 |        101 |
| d:\vscode_project\Performace-MM\front-end\src\icons\index.js                                                        | JavaScript         |          6 |          1 |          3 |         10 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\404.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\bug.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\chart.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\clipboard.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\communication.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\component.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\dashboard.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\documentation.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\drag.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\edit.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\education.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\email.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\example.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\excel.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\exit-fullscreen.svg                                         | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\eye-open.svg                                                | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\eye.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\form.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\fullscreen.svg                                              | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\greenPoint.svg                                              | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\guide.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\icon.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\international.svg                                           | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\language.svg                                                | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\link.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\list.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\lock.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\message.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\money.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\nested.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\password.svg                                                | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\pdf.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\people.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\peoples.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\qq.svg                                                      | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\rank-blue.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\rank-new.svg                                                | XML                |          2 |          0 |          0 |          2 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\rank-new1.svg                                               | XML                |          2 |          0 |          0 |          2 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\rank-yellow.svg                                             | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\rank.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\ranks.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\redPoint.svg                                                | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\score-blue.svg                                              | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\score-red.svg                                               | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\score-yellow.svg                                            | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\search.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\shopping.svg                                                | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\size.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\skill.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\star.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\tab.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\table.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\theme.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\tree-table.svg                                              | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\tree.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\user.svg                                                    | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\wechat.svg                                                  | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\yellowPoint.svg                                             | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svg\zip.svg                                                     | XML                |          1 |          0 |          0 |          1 |
| d:\vscode_project\Performace-MM\front-end\src\icons\svgo.yml                                                        | YAML               |          5 |         13 |          5 |         23 |
| d:\vscode_project\Performace-MM\front-end\src\main.js                                                               | JavaScript         |         46 |          1 |          6 |         53 |
| d:\vscode_project\Performace-MM\front-end\src\mutation-types.js                                                     | JavaScript         |          1 |          1 |          1 |          3 |
| d:\vscode_project\Performace-MM\front-end\src\router.js                                                             | JavaScript         |        151 |          1 |          4 |        156 |
| d:\vscode_project\Performace-MM\front-end\src\store.js                                                              | JavaScript         |         83 |         14 |          3 |        100 |
| d:\vscode_project\Performace-MM\front-end\src\themes\element\element-variables.scss                                 | SCSS               |          3 |          2 |          2 |          7 |
| d:\vscode_project\Performace-MM\front-end\src\utils\achievementEva.js                                               | JavaScript         |        204 |         20 |          8 |        232 |
| d:\vscode_project\Performace-MM\front-end\src\utils\auth.js                                                         | JavaScript         |         11 |          0 |          5 |         16 |
| d:\vscode_project\Performace-MM\front-end\src\utils\common.js                                                       | JavaScript         |        537 |         30 |         27 |        594 |
| d:\vscode_project\Performace-MM\front-end\src\utils\conclusion.js                                                   | JavaScript         |        244 |         28 |         11 |        283 |
| d:\vscode_project\Performace-MM\front-end\src\utils\index.js                                                        | JavaScript         |         26 |         10 |          5 |         41 |
| d:\vscode_project\Performace-MM\front-end\src\utils\multual.js                                                      | JavaScript         |        124 |        171 |          4 |        299 |
| d:\vscode_project\Performace-MM\front-end\src\utils\performance.js                                                  | JavaScript         |        553 |         30 |         19 |        602 |
| d:\vscode_project\Performace-MM\front-end\src\utils\performanceEva.js                                               | JavaScript         |          7 |          1 |          2 |         10 |
| d:\vscode_project\Performace-MM\front-end\src\utils\performancerate.js                                              | JavaScript         |        158 |         17 |          4 |        179 |
| d:\vscode_project\Performace-MM\front-end\src\utils\request.js                                                      | JavaScript         |         56 |         21 |          9 |         86 |
| d:\vscode_project\Performace-MM\front-end\src\utils\users.js                                                        | JavaScript         |         33 |          2 |          3 |         38 |
